actors,comment_count,director,name,profile,publication_date,star
主演:马特·达蒙MattDamon/罗宾·...,307377人评价,导演:格斯·范·桑特GusVanSant,心灵捕手,人生中应该拥有这样的一段豁然开朗。,1997 / 美国 / 剧情,8.8
主演:夏雨YuXia/宁静JingNing/陶虹HongTao,306639人评价,导演:姜文WenJiang,阳光灿烂的日子,一场华丽的意淫。,1994 / 中国大陆香港 / 剧情,8.8
主演:松田洋治YôjiMatsuda/石田百合...,263006人评价,导演:宫崎骏HayaoMiyazaki,幽灵公主,人与自然的战争史诗。,1997 / 日本 / 动作爱情战争动画奇幻冒险,8.8
主演:布鲁斯·威利斯BruceWi...,261622人评价,导演:M·奈特·沙马兰M.NightShyamalan,第六感,深入内心的恐怖，出人意料的结局。,1999 / 美国 / 剧情悬疑惊悚,8.8
主演:拉尔夫·费因斯RalphFiennes/...,364863人评价,导演:韦斯·安德森WesAnderson,布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,2014 / 美国德国英国 / 剧情喜剧冒险,8.8
主演:林青霞BrigitteLin/金城武TakeshiK...,373931人评价,导演:王家卫KarWaiWong,重庆森林,寂寞没有期限。,1994 / 香港 / 剧情爱情,8.7
主演:DanielRadcliffe/EmmaWatson/RupertGrint,301461人评价,导演:ChrisColumbus,哈利·波特与魔法石,童话世界的开端。,2001 / 美国英国 / 奇幻冒险,8.7
主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,405952人评价,导演:MartinScorsese,禁闭岛,昔日翩翩少年，今日大腹便便。,2010 / 美国 / 剧情悬疑惊悚,8.7
主演:麦斯·米科尔森MadsMik...,149956人评价,导演:托马斯·温特伯格ThomasVinterberg,狩猎,人言可畏。,2012 / 丹麦瑞典 / 剧情,9.0
主演:莱昂纳多·迪卡普里奥L...,266135人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg,猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,2002 / 美国加拿大 / 传记犯罪剧情,8.8
主演:伊万·麦克格雷格EwanMcGregor/阿...,280889人评价,导演:蒂姆·波顿TimBurton,大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003 / 美国 / 剧情家庭奇幻冒险,8.7
主演:JohnCusack/RayLiotta/AmandaPeet,357511人评价,导演:JamesMangold,致命ID,最不可能的那个人永远是最可能的。,2003 / 美国 / 剧情悬疑惊悚,8.7
主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,356963人评价,导演:李安AngLee,断背山,每个人心中都有一座断背山。,2005 / 美国加拿大 / 剧情爱情同性家庭,8.7
主演:黎明LeonLai/张曼玉MaggieCheung/...,255931人评价,导演:陈可辛PeterChan,甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,1996 / 香港 / 剧情爱情,8.8
主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,307038人评价,导演:刘镇伟JeffreyLau,射雕英雄传之东成西就,百看不厌。 ,1993 / 香港 / 喜剧古装,8.7
主演:吴念真/李凯莉KellyLee/金燕玲Elai...,172766人评价,导演:杨德昌EdwardYang,一一,我们都曾经是一一。,2000 / 台湾日本 / 剧情爱情家庭,8.9
主演:松隆子TakakoMatsu/冈田将生...,380111人评价,导演:中岛哲也TetsuyaNakashima,告白,没有一人完全善，也没有一人完全恶。,2010 / 日本 / 剧情惊悚,8.7
主演:约翰尼·德普JohnnyDepp/...,388306人评价,导演:戈尔·维宾斯基GoreVerbinski,加勒比海盗,约翰尼·德普的独角戏。,2003 / 美国 / 动作冒险奇幻,8.6
主演:沈恩京Eun-kyungShim/闵孝琳Hy...,299684人评价,导演:姜炯哲Hyeong-CheolKang,阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011 / 韩国 / 剧情喜剧,8.8
主演:阿沙·巴特菲尔德AsaButterfield/...,172131人评价,导演:马克·赫门MarkHerman,穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008 / 英国美国 / 剧情战争,8.9
主演:查理·卓别林CharlesChaplin...,102429人评价,导演:查理·卓别林CharlesChaplin,摩登时代,大时代中的人生，小人物的悲喜。,1936 / 美国 / 喜剧剧情爱情,9.2
主演:萨姆·沃辛顿SamWorthington...,586341人评价,导演:詹姆斯·卡梅隆JamesCameron,阿凡达,绝对意义上的美轮美奂。,2009 / 美国英国 / 动作战争科幻冒险,8.6
主演:AlexandreRodrigues/Lea...,171211人评价,导演:KátiaLund/FernandoMeirelles,上帝之城,被上帝抛弃了的上帝之城。,2002 / 巴西法国 / 犯罪剧情,8.9
主演:伊桑·霍克EthanHawke...,247548人评价,导演:理查德·林克莱特RichardLinklater,爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,1995 / 美国奥地利瑞士 / 剧情爱情,8.7
主演:本·阿弗莱克BenAffleck/罗莎蒙...,401597人评价,导演:大卫·芬奇DavidFincher,消失的爱人,年度最佳date movie。,2014 / 美国 / 剧情犯罪悬疑惊悚,8.7
